"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"금구면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","","-","0",
"봉남면","합계","면적[㏊]","㏊","120","155","155","140","40","40","160","160","235","101.1","104.8","121.6",
"봉남면","합계","생산량[M/T]","M/T","492","609.5","609.5","588","173","173","744","740","1201","327.6","340.8","413.9",
"봉남면","겉보리","면적[㏊]","㏊","35","25","25","65","20","20","37","37","51","87.1","91.1","91.1",
"봉남면","겉보리","생산량[M/T]","M/T","147","125","125","357.5","88","88","185","185","338.6","279.6","292.4","300.6",
"봉남면","겉보리","단위생산량[㎏/10a]","㎏/10a","420","500","500","544.5","440","440","282","282","663.9","321","321","330",
"봉남면","쌀보리","면적[㏊]","㏊","75","120","120","75","15","15","116","116","131.8","13","12.5","12.5",
"봉남면","쌀보리","생산량[M/T]","M/T","300","480","480","450","67.5","67.5","528","528","681.7","43.8","42.1","41.3",
"봉남면","쌀보리","단위생산량[㎏/10a]","㎏/10a","400","400","400","594","450","450","455","","517.2","337","337","330",
"봉남면","밀","면적[㏊]","㏊","10","10","10","-","5","5","7","7","52.2","1","1.2","18",
"봉남면","밀","생산량[M/T]","M/T","45","4.5","4.5","-","17.5","17.5","27","27","180.7","4.2","6.2","72",
"봉남면","밀","단위생산량[㎏/10a]","㎏/10a","450","45","450","-","350","350","385.7","350","346.2","520","520","400",
"봉남면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"봉남면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"봉남면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"봉남면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"봉남면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"봉남면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"황산면","합계","면적[㏊]","㏊","9.2","9.2","9.2","9.2","-","","4","","75","34.4","36.4","36.4",
"황산면","합계","생산량[M/T]","M/T","36.8","36.8","36.8","36.8","-","","16","","","114.1","119.6","121.5",
"황산면","겉보리","면적[㏊]","㏊","","","","-","","","4","","","22","23","23",
"황산면","겉보리","생산량[M/T]","M/T","","","","-","","","16","","","70.6","73.8","75.9",
"황산면","겉보리","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","400","","","321","321","330",
"황산면","쌀보리","면적[㏊]","㏊","9.2","9.2","9.2","9.2","","","-","","75","10.4","11.5","11.5",
"황산면","쌀보리","생산량[M/T]","M/T","36.8","36.8","36.8","36.8","","","-","","","35","38.8","38",
"황산면","쌀보리","단위생산량[㎏/10a]","㎏/10a","400","400","400","400","","","-","","","337","337","330",
"황산면","밀","면적[㏊]","㏊","","","","-","","","-","","","2","1.9","1.9",
"황산면","밀","생산량[M/T]","M/T","","","","-","","","-","","","8.4","7","7.6",
"황산면","밀","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","-","","","370","370","400",
"황산면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"황산면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"황산면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"황산면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"황산면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"황산면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"금산면","합계","면적[㏊]","㏊","3","3","3","3","-","","","51","126","15.6","16.7","16.7",
"금산면","합계","생산량[M/T]","M/T","13.5","13.5","13.5","13.5","-","","","249","710","52.5","56.1","56.4",
"금산면","겉보리","면적[㏊]","㏊","3","3","3","-","","","","39","76","10.8","11.8","11.8",
"금산면","겉보리","생산량[M/T]","M/T","13.5","13.5","13.5","-","","","","195","425.5","34.7","37.9","38.9",
"금산면","겉보리","단위생산량[㎏/10a]","㎏/10a","450","450","450","-","","","","495","559.9","321","321","330",
"금산면","쌀보리","면적[㏊]","㏊","","","","3","","","","12","50","2.8","3.1","3.1",
"금산면","쌀보리","생산량[M/T]","M/T","","","","13.5","","","","54","284.5","9.4","10.4","10.2",
"금산면","쌀보리","단위생산량[㎏/10a]","㎏/10a","","","","450","","","","440","569","337","337","330",
"금산면","밀","면적[㏊]","㏊","","","","-","","","","","","2","1.8","1.8",
"금산면","밀","생산량[M/T]","M/T","","","","-","","","","","","8.4","7.7","7.2",
"금산면","밀","단위생산량[㎏/10a]","㎏/10a","","-","","-","","","","","","430","430","400",
"금산면","맥주보리","면적[㏊]","㏊","","","","","","","","","","","-","0",
"금산면","맥주보리","생산량[M/T]","M/T","","","","","","","","","","","-","0",
"금산면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","","-","0",
"광활면","합계","면적[㏊]","㏊","413","413","499","533.9","274","274","274","267","342","643.6","628.1","619.9",
"광활면","합계","생산량[M/T]","M/T","1699.2","1698.2","2045.9","2390","1272.9","1272.9","1272.9","1240.4","1701.4","2225.5","2170.9","2112.1",
"광활면","겉보리","면적[㏊]","㏊","118","118","98","104.8","24","24","24","22","58","86.1","87.5","68",
"광활면","겉보리","생산량[M/T]","M/T","519.2","511.8","425","468.9","110.4","110.4","110.4","101.2","331.7","276.4","280.9","224.4",
